N,Triton,Torch
1024.000000,114.306981,384.000001
1536.000000,185.246229,455.111121
2048.000000,323.368435,534.260858
2560.000000,302.660094,585.142862
3072.000000,488.264900,635.586191
3584.000000,747.965201,565.894762
4096.000000,484.256150,592.192778
4608.000000,732.397350,588.255302
5120.000000,787.692335,587.942569
5632.000000,640.606617,587.686943
6144.000000,882.970030,589.823972
6656.000000,923.375759,596.059694
7168.000000,815.317541,567.762361
7680.000000,1001.739108,574.205608
8192.000000,1034.778914,578.258826
8704.000000,727.860621,588.439442
9216.000000,747.243211,601.043465
9728.000000,780.842792,604.849741
10240.000000,808.421089,592.192789
10752.000000,821.808906,590.498843
11264.000000,852.794958,595.453753
11776.000000,866.944763,597.513751
12288.000000,888.289167,611.850618
12800.000000,906.194714,613.173686
13312.000000,912.822890,615.583822
13824.000000,931.955045,617.832386
14336.000000,950.453061,605.746460
14848.000000,970.986375,607.073267
15360.000000,996.324340,615.425688
15872.000000,997.193722,617.387375
