size,Triton,Torch
4096.000000,6.400000,2.461538
8192.000000,12.800000,4.923077
16384.000000,21.333333,9.142857
32768.000000,42.666665,16.000000
65536.000000,85.333330,25.600001
131072.000000,146.285712,56.888887
262144.000000,256.000001,102.400003
524288.000000,455.111095,170.666661
1048576.000000,585.142849,248.242422
2097152.000000,682.666643,252.061538
4194304.000000,744.727267,280.068368
8388608.000000,789.590371,304.818615
16777216.000000,809.086437,318.909986
33554432.000000,819.200021,326.862845
67108864.000000,825.650389,331.199000
134217728.000000,828.259098,331.932883
