N,Triton (GB/s),Torch (GB/s)
256.000000,516.626041,556.780504
384.000000,609.927214,642.208050
512.000000,669.645771,646.537687
640.000000,710.317125,631.409395
768.000000,731.443472,651.064633
896.000000,743.453347,668.762156
1024.000000,753.869114,677.858079
1152.000000,759.714902,679.965120
1280.000000,763.384429,672.496210
1408.000000,769.172891,669.958960
1536.000000,772.111788,679.484721
1664.000000,774.857883,686.110198
1792.000000,777.616427,691.449142
1920.000000,779.757061,669.057683
2048.000000,781.766033,679.977976
2176.000000,789.788971,689.875499
2304.000000,790.904682,717.941419
2432.000000,792.286679,731.215295
2560.000000,794.142811,739.391149
2688.000000,794.848753,744.910318
2816.000000,795.095287,750.685328
2944.000000,797.094889,753.015643
3072.000000,798.609847,754.294300
3200.000000,799.363938,756.121749
3328.000000,799.070320,761.469947
3456.000000,801.085777,761.840099
3584.000000,800.675656,764.243715
3712.000000,801.527433,764.191402
3840.000000,802.160649,767.788299
3968.000000,802.062362,767.727758
4096.000000,802.089100,766.703666
4224.000000,804.100233,769.201886
4352.000000,804.199407,772.478451
4480.000000,805.468263,775.109365
4608.000000,804.881724,778.003618
4736.000000,805.175906,780.553850
4864.000000,804.849313,783.577127
4992.000000,806.744078,784.585015
5120.000000,807.508872,787.122634
5248.000000,807.279144,784.110439
5376.000000,807.619598,786.691743
5504.000000,808.320190,787.898672
5632.000000,808.035259,790.841538
5760.000000,808.201992,791.783313
5888.000000,808.831907,793.301902
6016.000000,808.377388,792.932404
6144.000000,809.282330,794.442247
6272.000000,809.173804,790.569015
6400.000000,808.653185,792.020206
6528.000000,808.477964,793.727786
6656.000000,808.487175,794.437098
6784.000000,808.949160,794.894139
6912.000000,808.065168,795.242163
7040.000000,808.329837,796.549392
7168.000000,807.232936,796.427048
7296.000000,807.242849,702.570238
7424.000000,807.543811,707.844741
7552.000000,808.466117,713.427721
7680.000000,808.507978,707.095850
7808.000000,768.231508,710.862279
7936.000000,768.579800,730.537943
8064.000000,808.088872,735.784452
8192.000000,807.536668,733.907988
8320.000000,734.344166,708.268239
8448.000000,740.091051,711.358160
8576.000000,753.168760,709.307319
8704.000000,763.333914,698.140151
8832.000000,767.137407,704.292582
8960.000000,776.409509,691.357047
9088.000000,785.637745,692.576670
9216.000000,790.634177,689.371271
9344.000000,794.938348,741.022622
9472.000000,793.931057,743.205557
9600.000000,797.469883,748.428860
9728.000000,799.911368,749.760303
9856.000000,800.758291,754.674525
9984.000000,800.721793,757.992268
10112.000000,802.303842,761.636030
10240.000000,803.107657,773.094638
10368.000000,802.960682,768.427460
10496.000000,803.371372,771.591474
10624.000000,804.532515,776.141439
10752.000000,802.949825,783.440188
10880.000000,804.895868,787.822727
11008.000000,766.498387,764.744752
11136.000000,766.546207,765.913545
11264.000000,801.699554,800.065563
11392.000000,806.321158,800.037021
11520.000000,806.362607,799.436163
11648.000000,806.406060,801.569222
11776.000000,805.969505,804.773500
11904.000000,806.576158,804.500986
12032.000000,806.339742,804.842974
12160.000000,804.489721,807.048398
12288.000000,807.264629,612.152714
12416.000000,806.335668,586.680851
12544.000000,807.555421,579.189696
12672.000000,808.375798,579.752498
