size,Triton (GB/s),Torch (GB/s)
4096.000000,9.540372,9.540372
8192.000000,19.200000,19.200000
16384.000000,38.400001,38.400001
32768.000000,76.800002,76.800002
65536.000000,127.999995,127.999995
131072.000000,219.428568,219.428568
262144.000000,341.333321,341.333321
524288.000000,511.999982,511.999982
1048576.000000,614.400016,614.400016
2097152.000000,722.823517,722.823517
4194304.000000,780.190482,780.190482
8388608.000000,819.200021,812.429770
16777216.000000,833.084721,833.084721
33554432.000000,842.004273,842.004273
67108864.000000,847.448255,847.448255
134217728.000000,849.737435,849.737435
